"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Cs3g24260" 38.8808265912791 0.3493031409527 0.135129605198322 2.80462281617535 0.00503754916527102 0.382687448068811
"Cs3g25190" 36.2572712506547 0.364210907797379 0.124402780681953 2.95684988000598 0.0031079939468736 0.352189110376303
"Cs3g25860" 279.257992643796 0.367140421096786 0.119762415316803 3.04023276695881 0.00236395372354707 0.352189110376303
"Cs3g27780" 4.27719529224462 0.438236451265552 0.136600271884215 3.27339351747158 0.00106264420792842 0.352189110376303
"Cs4g02260" 299.768040089493 0.377840127178501 0.136928398703407 2.80747744681691 0.0049931176041793 0.382687448068811
"Cs4g06070" 5.92608262353581 0.40010037630059 0.136811020215515 2.89043237265101 0.00384712295324184 0.356718657314849
"Cs4g07840" 510.700584184109 0.388540572183854 0.137730329442833 2.9128673856246 0.00358126654927941 0.352189110376303
"Cs4g10910" 592.080738437835 0.312356549934949 0.115448873973485 2.75689491611362 0.00583531011359313 0.397781656843674
"Cs4g11090" 7601.75211774945 0.339089900140107 0.131588239146211 2.60109252930165 0.00929273858322103 0.415235083846554
"Cs4g16080" 5221.21965969952 0.305959975839751 0.10412414168593 2.95248646058713 0.00315225893729785 0.352189110376303
"Cs4g18570" 2.51043792119618 0.346675284656824 0.129061879207809 2.72554590109473 0.00641952497640968 0.408664443367679
"Cs4g19300" 422.212870719375 0.342967052422991 0.112290281697799 3.07617227878442 0.00209676657491681 0.352189110376303
"Cs4g19310" 347.492969625878 0.369059567685215 0.103074617558356 3.59850267020685 0.000320054565269579 0.288511292560652
"Cs5g03580" 137.320325933307 0.322862105496986 0.117500394379035 2.76361010155762 0.00571658025075398 0.397781656843674
"Cs5g06030" 52.7396749753541 0.354425632949931 0.137013961894001 2.57888105167683 0.00991209111825392 0.415607325827565
"Cs5g10950" 30.2510264382279 0.3509003916647 0.126680306429679 2.80490274800394 0.00503317634731682 0.382687448068811
"Cs5g11010" 127.269124756272 0.348071154901695 0.137028635680265 2.74918930909703 0.00597428705279222 0.400287837173269
"Cs5g11390" 254.153259083973 0.311596143999115 0.125596090642895 2.90551605644765 0.00366648036988419 0.352189110376303
"Cs5g12450" 35.0034830730345 0.33764230816232 0.13038874884983 2.62204949315205 0.00874027371034998 0.415235083846554
"Cs5g15940" 659.87940348997 0.38298722209699 0.137837092006823 2.92962206911764 0.00339374486387099 0.352189110376303
"Cs5g21190" 6.45370342836903 0.341721488891273 0.123689754388249 3.19694238634238 0.00138892665172977 0.352189110376303
"Cs5g21940" 13.4072131116221 0.342568814402123 0.123185214924343 3.45761057770014 0.000544988534976779 0.316426172012818
"Cs5g22750" 87.1838332940612 0.373814455751227 0.129839173066974 2.96548814142841 0.00302202995899927 0.352189110376303
"Cs5g25910" 13.7496875255236 0.408866558841981 0.137644161917713 3.15729641705493 0.00159239385597027 0.352189110376303
"Cs5g25950" 38.1125017424585 0.382259965166604 0.137671433498287 2.9078879833474 0.0036387865295201 0.352189110376303
"Cs5g27140" 589.791068946465 0.372606176653401 0.120973113692017 3.13797184253123 0.00170121218564975 0.352189110376303
"Cs5g30030" 2.75123007078084 0.352372535201279 0.122404426445674 2.95618298355063 0.00311472242428892 0.352189110376303
"Cs5g30520" 61.1269879250729 0.330776778800322 0.121705442773091 2.76883314886702 0.00562574372644015 0.397781656843674
"Cs5g30540" 12.608224615326 0.378375899488899 0.137601435235132 2.82945922386776 0.00466267412285079 0.380508906194513
"Cs5g33180" 373.565698465822 0.309987081929945 0.118974403199918 2.61880895421489 0.00882373488001098 0.415235083846554
"Cs5g33190" 1.90789069423622 0.43826213091481 0.119543872165614 4.17008617868239 3.04484476688782e-05 0.229635320371697
"Cs5g34210" 4.30659938120282 0.399679192669891 0.134780873746562 3.05621511712673 0.00224150374949763 0.352189110376303
"Cs5g34300" 21.8583643678232 0.385175377049569 0.137832170382571 2.98255083328333 0.00285857173500175 0.352189110376303
"Cs6g03790" 61.7789680474101 0.365101122704416 0.122275435272454 2.96856054374323 0.00299198154023882 0.352189110376303
"Cs6g04680" 15.704195836499 0.383900325736327 0.13652576638551 2.86927947050276 0.00411408111442123 0.361612492620165
"Cs6g05750" 5.64112688806203 0.366059213585009 0.137357432292982 2.67018252315206 0.00758100247472916 0.415235083846554
"Cs6g05820" 3.03700222184421 0.385339874675718 0.135502802906445 2.76888007446068 0.00562493355677193 0.397781656843674
"Cs6g07340" 121.64740706875 0.388701431875771 0.134287864798676 3.06517413570728 0.00217543295570229 0.352189110376303
"Cs6g07820" 1106.6043020814 0.329935204478202 0.106340790809292 3.13270189097969 0.00173205262145776 0.352189110376303
"Cs6g13230" 67.8413730681596 0.308739144656621 0.136624392189891 2.59410078882252 0.00948386803421105 0.415235083846554
"Cs6g13840" 97.5457059578415 0.361061847088567 0.116079370596281 3.18240992745905 0.001460549372374 0.352189110376303
"Cs6g14360" 18.4538630158321 0.400320563493364 0.13448967571652 3.08087919702509 0.00206390366101172 0.352189110376303
"Cs6g14570" 110.646324949205 0.37946382349412 0.131090013030378 2.87104638561567 0.00409115486761441 0.36093415359935
"Cs6g19130" 1295.50765492682 0.325171213396141 0.0966698147767768 3.32112746251921 0.000896545825444148 0.342225347586187
"Cs6g20290" 7.34478179058771 0.334442897864213 0.132727352060508 2.70510111244246 0.00682836014246497 0.408664443367679
"Cs7g04490" 3368.27608638892 0.323087035163205 0.111617609332375 2.92473730172705 0.00344747116511871 0.352189110376303
"Cs7g04660" 12.8177140975974 0.3394417137111 0.137457345203767 2.63879468991833 0.00832013524057107 0.415235083846554
"Cs7g06670" 148.346890298252 0.310112677692565 0.103979146793097 3.00515638379826 0.00265444333084302 0.352189110376303
"Cs7g08720" 4.43389979719357 0.305746943461452 0.12426232173301 3.00025563008957 0.00269753110427037 0.352189110376303
"Cs7g08890" 1.92067224254997 0.35519519344636 0.117908846277089 3.19816333363014 0.00138305920613786 0.352189110376303
"Cs7g09060" 4044.28480898496 0.395719552227411 0.12416992040981 3.21244204010901 0.00131611701554167 0.352189110376303
"Cs7g09430" 236.081985713518 0.363600951437427 0.133958940009957 2.82462080082929 0.00473366007355905 0.380508906194513
"Cs7g10000" 1007.14139549756 0.310644328752548 0.10201785347905 3.06379305840708 0.00218550031645042 0.352189110376303
"Cs7g10050" 173.825030441845 0.312774303649807 0.114856480150916 2.72318795708877 0.00646552619500638 0.408664443367679
"Cs7g13150" 66.7511373455044 0.324787875922196 0.126984433285051 2.58745918994406 0.00966866480365389 0.415235083846554
"Cs7g15230" 16.0244297748397 0.497761595046582 0.129336674105866 3.82675167628758 0.000129845385277114 0.232992556008323
"Cs7g17040" 7.87812976615128 0.383839096761449 0.137340185300389 2.75837000270004 0.00580904050182001 0.397781656843674
"Cs7g18040" 58.7352162054238 0.321124548306996 0.122413740145631 3.34383025438625 0.00082630278973086 0.338100306998151
"Cs7g20030" 508.610144617624 0.395479095820781 0.137594161154456 3.35529435522282 0.000792805767109791 0.330173344872713
